rank,lemma,absolute_frequency,freq_cat
1,být,3401491,A 
2,a,2841288,A 
3,v,2522994,A 
4,se,2303330,A 
5,na,1664681,A 
6,ten,1257090,A 
7,s,893803,A 
8,že,867281,A 
9,z,857174,A 
10,který,783095,A 
11,o,665622,A 
12,mít,633987,A 
13,do,621603,A 
14,on,554057,A 
15,i,548660,A 
16,k,521513,A 
17,pro,401396,A 
18,rok,395300,A 
19,svůj,391811,A 
20,za,391618,A 
21,ale,388985,A 
22,tento,385524,A 
23,moci,331932,A 
24,jako,319585,A 
25,po,316968,A 
26,já,288442,A 
27,tak,267093,A 
28,oni,259396,A 
29,od,249717,A 
30,všechen,237781,A 
31,co,237063,A 
32,jeho,214508,A 
33,jenž,209308,A 
34,aby,206226,A 
35,už,206200,A 
36,jak,203438,A 
37,stát,196469,A 
38,když,194199,A 
39,však,190683,A 
40,nebo,189870,A 
41,jen,189368,A 
42,jeden,187435,A 
43,podle,187086,A 
44,u,186345,A 
45,člověk,185923,A 
46,velký,181871,A 
47,říci,169251,A 
48,při,168488,A 
49,muset,166476,A 
50,my,162769,A 
51,až,162670,A 
52,nový,156441,A 
53,než,153763,A 
54,dva,153093,A 
55,další,148317,A 
56,chtít,145270,A 
57,před,143933,A 
58,také,139046,A 
59,první,138370,A 
60,ještě,135838,A 
61,náš,134195,A 
62,Praha,131331,A 
63,ani,126063,A 
64,jít,125443,A 
65,jejich,120654,A 
66,pak,118558,A 
67,český,117279,A 
68,jiný,117049,A 
69,mezi,116527,A 
70,strana,116167,A 
71,den,112735,A 
72,celý,112342,A 
73,doba,111028,A 
74,druhý,110385,A 
75,země,103547,A 
76,místo,103206,A 
77,její,100859,A 
78,dobrý,99351,A 
79,hodně,98943,A 
80,již,96609,A 
81,každý,95789,A 
82,kde,95008,A 
83,vědět,94962,A 
84,dát,90787,A 
85,společnost,90617,A 
86,bez,86425,A 
87,tři,86087,A 
88,protože,85461,A 
89,vy,83844,A 
90,firma,83589,A 
91,či,83483,A 
92,práce,83333,A 
93,svět,82757,A 
94,město,82556,A 
95,proto,82428,A 
96,vysoký,82325,A 
97,vláda,81892,A 
98,cena,81800,A 
99,takový,81324,A 
100,některý,79943,A 
101,koruna,79524,A 
102,malý,78653,A 
103,život,78436,A 
104,případ,78250,A 
105,poslední,77854,A 
106,proti,76874,A 
107,nad,75911,A 
108,dnes,75518,A 
109,začít,75172,A 
110,kdy,74628,A 
112,můj,73750,A 
113,tedy,73016,A 
114,sám,72899,A 
115,tam,72044,A 
116,dítě,71630,A 
117,asi,70523,A 
118,dostat,70320,A 
119,pod,69558,A 
120,milión,69413,A 
121,pokud,69053,A 
122,procento,69046,A 
123,říkat,68672,A 
124,nic,67902,A 
125,několik,67766,A 
126,zákon,67073,A 
127,kdo,66434,A 
128,pouze,65518,A 
129,ne,64557,A 
130,část,64475,A 
131,lze,63417,A 
132,velmi,63413,A 
133,něco,62875,A 
134,žádný,62622,A 
135,oba,62524,A 
136,vidět,62275,A 
137,čas,62096,A 
138,uvést,62081,A 
139,problém,61984,A 
140,dobře,61453,A 
141,žena,61076,A 
142,včera,60812,A 
143,právě,60454,A 
144,přijít,59844,A 
145,vlastní,59615,A 
146,starý,59571,A 
147,muž,59182,A 
148,hodina,59092,A 
149,totiž,58656,A 
150,konec,57885,A 
151,tisíc,57620,A 
152,cesta,57603,A 
153,skupina,55895,A 
154,třeba,55817,A 
155,přes,55366,A 
156,ministr,55115,A 
157,státní,55093,A 
158,jaký,54808,A 
159,možný,54389,A 
160,slovo,54349,A 
161,věc,54268,A 
162,ty,54253,A 
163,republika,54188,A 
164,li,54050,A 
165,systém,54009,A 
166,hlavní,53998,A 
167,ruka,53436,A 
168,především,53174,A 
169,například,52426,A 
170,řada,52030,A 
171,myslet,51871,A 
172,dům,51782,A 
173,což,51773,A 
174,hrát,51718,A 
175,politický,51615,A 
176,situace,50876,A 
177,nějaký,50797,A 
178,tu,50773,A 
179,málo,50725,A 
180,trh,50411,A 
181,americký,49925,A 
182,stále,49880,A 
183,týden,49661,A 
184,škola,49637,A 
185,ovšem,49242,A 
186,dělat,48880,A 
187,otázka,48644,A 
188,zatím,48611,A 
189,brzy,48393,A 
190,nyní,48155,A 
191,získat,47714,A 
192,rád,47689,A 
193,možnost,47545,A 
194,výsledek,47250,A 
195,banka,46962,A 
196,prezident,46771,A 
197,pan,46183,A 
198,čR,46067,A 
199,podnik,45978,A 
200,film,45507,A 
201,evropský,45316,A 
202,USA,45113,A 
203,oblast,44815,A 
204,program,44684,A 
205,měsíc,44577,A 
206,mladý,44574,A 
207,teď,44272,A 
208,voda,44268,A 
209,peníze,44172,A 
210,způsob,44006,A 
211,čtyři,43972,A 
212,Kč,43822,A 
213,úřad,43804,A 
214,člen,43660,A 
215,zájem,43447,A 
216,informace,43410,A 
217,právo,43381,A 
218,patřit,43222,A 
219,stejně,42835,A 
220,často,42817,A 
221,kolem,42793,A 
222,služba,42776,A 
223,současný,42730,A 
224,ředitel,42692,A 
225,různý,42552,A 
226,jediný,42312,A 
227,ministerstvo,42310,A 
228,pět,42174,A 
229,kdyby,42048,A 
230,pražský,41752,A 
231,rozhodnout,41682,A 
232,vést,41376,A 
233,známý,41201,A 
234,Jan,41133,A 
235,Evropa,41110,A 
236,vůbec,40849,A 
237,změna,40716,A 
238,nikdo,40338,A 
239,moc,40283,A 
240,dále,39943,A 
241,hlava,39889,A 
242,stejný,39870,A 
243,většina,39805,A 
244,kolo,39554,A 
245,předseda,39234,A 
246,volba,39231,A 
247,základní,39143,A 
248,mnoho,39125,A 
249,oko,38933,A 
250,síla,38479,A 
251,národní,38353,A 
252,bývalý,38193,A 
253,počet,38021,A 
254,Brno,37899,A 
255,proč,37821,A 
256,znamenat,37781,A 
257,klub,37534,A 
258,výstava,37377,A 
259,téměř,37375,A 
260,domácí,37304,A 
261,zde,36926,A 
262,udělat,36916,A 
263,hra,36785,A 
264,vztah,36742,A 
265,dokonce,36688,A 
266,najít,36584,A 
267,stav,36547,A 
268,sociální,36511,A 
269,podmínka,36456,A 
270,zůstat,36348,A 
271,chvíle,36323,A 
272,nikdy,36156,A 
273,sice,35903,A 
274,německý,35820,A 
275,divadlo,35678,A 
276,dlouhý,35502,A 
277,někdo,35383,A 
278,důvod,35368,A 
279,ostatní,35224,A 
280,snad,35099,A 
281,přitom,34921,A 
282,světový,34666,A 
283,čekat,34546,A 
284,jednání,34531,A 
285,Jiří,34510,A 
286,zcela,34506,A 
287,zda,34462,A 
288,navíc,34222,A 
289,zápas,34221,A 
290,dojít,34205,A 
291,politika,34086,A 
292,důležitý,34069,A 
